iter	RMSE
0	14.13997362
1	13.85703967
2	13.59419433
3	13.33377982
4	13.09509354
5	12.88633073
6	12.65796222
7	12.48495532
8	12.2813793
9	12.06959333
10	11.90166488
11	11.73791597
12	11.54217996
13	11.32698064
14	11.13869668
15	10.96108647
16	10.77394306
17	10.61563184
18	10.44079468
19	10.27989446
20	10.11639983
21	9.990552399
22	9.837767038
23	9.688199829
24	9.547656032
25	9.419684697
26	9.294027043
27	9.159931034
28	9.045044073
29	8.949102994
30	8.825263311
31	8.721081434
32	8.626465052
33	8.52806414
34	8.435267831
35	8.336641738
36	8.237019013
37	8.14919762
38	8.050773246
39	7.980406799
40	7.886450837
41	7.800595136
42	7.729621391
43	7.648606904
44	7.564892437
45	7.494487352
46	7.42596179
47	7.370017852
48	7.297554311
49	7.24655346
50	7.182443023
51	7.121258812
52	7.063583798
53	7.004054419
54	6.959797509
55	6.908457143
56	6.862728134
57	6.819873222
58	6.768071696
59	6.713519035
60	6.658024292
61	6.619030904
62	6.575509942
63	6.533276452
64	6.492781023
65	6.448293403
66	6.40546701
67	6.366466221
68	6.330427474
69	6.308719156
70	6.267865274
71	6.227123812
72	6.193392154
73	6.157092791
74	6.12025819
75	6.088530532
76	6.065561233
77	6.036223203
78	6.006849116
79	5.97575633
80	5.952111591
81	5.921448141
82	5.891852492
83	5.859870135
84	5.834889553
85	5.803547859
86	5.774176134
87	5.747636416
88	5.719482578
89	5.699423694
90	5.679414051
91	5.654526728
92	5.633794922
93	5.614433635
94	5.592324153
95	5.575304171
96	5.559605217
97	5.53297784
98	5.51324157
99	5.49599026
100	5.477610452
101	5.456083644
102	5.433420217
103	5.411307297
104	5.394198329
105	5.375309215
106	5.357581466
107	5.340350378
108	5.321555972
109	5.300804976
110	5.284686043
111	5.27037866
112	5.258533581
113	5.238863783
114	5.225456169
115	5.215220884
116	5.201354595
117	5.191013275
118	5.181063326
119	5.168840626
120	5.152562143
121	5.137654943
122	5.126380826
123	5.114204412
124	5.105220114
125	5.095458547
126	5.084838673
127	5.075864921
128	5.065854139
129	5.048212555
130	5.029553763
131	5.015790644
132	5.004603624
133	4.99073037
134	4.981031636
135	4.967846457
136	4.9570338
137	4.946142903
138	4.938478851
139	4.930880795
140	4.920039208
141	4.913174999
142	4.907847599
143	4.892983626
144	4.878835294
145	4.871394002
146	4.866605575
147	4.86016158
148	4.848863632
149	4.839208282
150	4.831752116
151	4.8172614
152	4.807445877
153	4.802268981
154	4.792590352
155	4.78670694
156	4.777723604
157	4.771309286
158	4.764641026
159	4.755204973
160	4.740866266
161	4.731824239
162	4.723543991
163	4.719360376
164	4.713479984
165	4.707064129
166	4.690696161
167	4.678305598
168	4.672939869
169	4.664661811
170	4.651548962
171	4.644696161
172	4.634691226
173	4.629556796
174	4.622953918
175	4.609182388
176	4.601507059
177	4.593230376
178	4.588602338
179	4.577148966
180	4.57074491
181	4.562630768
182	4.556072162
183	4.546933063
184	4.541272909
185	4.531219775
186	4.525318374
187	4.51614676
188	4.502361396
189	4.496038392
190	4.488587332
191	4.482171843
192	4.472442518
193	4.464266304
194	4.456904853
195	4.445914789
196	4.442877606
197	4.435417573
198	4.426782277
199	4.419288462
200	4.411739428
201	4.400629993
202	4.394569166
203	4.390128326
204	4.384623457
205	4.377119957
206	4.370184601
207	4.361522143
208	4.357063165
209	4.35263189
210	4.344239879
211	4.339290538
212	4.332342819
213	4.326809589
214	4.31952142
215	4.311689959
216	4.303972785
217	4.302282242
218	4.294173306
219	4.287709442
220	4.281364451
221	4.272818785
222	4.26633866
223	4.259006671
224	4.25438718
225	4.247445683
226	4.243122329
227	4.238247709
228	4.230781815
229	4.224447878
230	4.218517266
231	4.212323484
232	4.206514694
233	4.198976824
234	4.192225127
235	4.188140129
236	4.18045163
237	4.174161187
238	4.169340567
239	4.163639854
240	4.159793882
241	4.154465303
242	4.147291151
243	4.142838769
244	4.135045946
245	4.128450917
246	4.122269303
247	4.117637653
248	4.112501428
249	4.10661762
250	4.102200865
251	4.094782088
252	4.089941324
253	4.082878778
254	4.079540234
255	4.073518714
256	4.068961202
257	4.065884819
258	4.060122431
259	4.053679167
260	4.050383848
261	4.0450157
262	4.042176782
263	4.036148598
264	4.030182782
265	4.025045575
266	4.016975456
267	4.012382029
268	4.006903402
269	4.00335992
270	3.993747188
271	3.98458261
272	3.981136539
273	3.977810827
274	3.969471448
275	3.964977951
276	3.95667234
277	3.948798926
278	3.943259834
279	3.936888072
280	3.932082329
281	3.927986578
282	3.925589013
283	3.924567311
284	3.917222252
285	3.912613318
286	3.903185477
287	3.897303521
288	3.890622941
289	3.886520436
290	3.883024392
291	3.880532317
292	3.878297067
293	3.874647895
294	3.867280318
295	3.861066813
296	3.858260429
297	3.854717627
298	3.849177467
299	3.845287405
300	3.836595938
301	3.831872182
302	3.8274544
303	3.821221123
304	3.819703444
305	3.813262699
306	3.81231931
307	3.80968884
308	3.803654449
309	3.797096473
310	3.790740851
311	3.781752558
312	3.776962089
313	3.77164332
314	3.770841152
315	3.76341792
316	3.760338093
317	3.755139277
318	3.754238931
319	3.750747761
320	3.745327322
321	3.742973164
322	3.735041729
323	3.728542462
324	3.725361942
325	3.721207924
326	3.717573091
327	3.710520376
328	3.70380687
329	3.699835677
330	3.695936026
331	3.690185367
332	3.686205204
333	3.683215001
334	3.678948145
335	3.672262393
336	3.666423304
337	3.658537109
338	3.655265568
339	3.648948357
340	3.646434817
341	3.637337269
342	3.631748365
343	3.622075539
344	3.614818047
345	3.607833503
346	3.602177729
347	3.596967503
348	3.594202411
349	3.58936396
350	3.583797858
351	3.583481521
352	3.581289986
353	3.578823752
354	3.574616027
355	3.567313552
356	3.563596027
357	3.561374011
358	3.553945858
359	3.549605557
360	3.543785634
361	3.535408551
362	3.530447234
363	3.525642704
364	3.522481178
365	3.517424932
366	3.513864222
367	3.508307478
368	3.503825608
369	3.499666483
370	3.493030047
371	3.49026405
372	3.48489843
373	3.481953009
374	3.478274148
375	3.471681407
376	3.467031351
377	3.465232859
378	3.457095534
379	3.456534281
380	3.454687464
381	3.452026314
382	3.446464946
383	3.440170839
384	3.437292848
385	3.432399676
386	3.426859592
387	3.421139761
388	3.419342577
389	3.416409315
390	3.415332493
391	3.412220343
392	3.404071167
393	3.399179722
394	3.394189124
395	3.388651751
396	3.386119529
397	3.383752661
398	3.381129334
399	3.376695306
400	3.372654497
401	3.368564914
402	3.366090082
403	3.360956846
404	3.358593119
405	3.357460944
406	3.353078494
407	3.347431526
408	3.342662212
409	3.338727481
410	3.335008143
411	3.333179574
412	3.329295326
413	3.320917771
414	3.319343939
415	3.313458445
416	3.308186742
417	3.307254055
418	3.29764057
419	3.294044172
420	3.292329043
421	3.284978947
422	3.281721916
423	3.276830647
424	3.274590846
425	3.265191417
426	3.263414948
