iter	Passed	Remaining
0	156	156784
1	158	79139
2	159	53149
3	160	40071
4	162	32337
5	164	27202
6	165	23460
7	166	20666
8	167	18438
9	168	16678
10	168	15192
11	169	13991
12	170	12957
13	171	12082
14	172	11323
15	173	10645
16	173	10049
17	174	9510
18	174	9028
19	175	8593
20	176	8213
21	177	7870
22	177	7546
23	177	7237
24	178	6958
25	178	6700
26	179	6460
27	179	6238
28	180	6031
29	180	5838
30	180	5657
31	181	5487
32	181	5329
33	182	5179
34	182	5037
35	183	4903
36	183	4777
37	183	4655
38	184	4541
39	184	4433
40	185	4330
41	185	4233
42	186	4140
43	186	4051
44	186	3966
45	187	3885
46	187	3806
47	188	3732
48	188	3663
49	189	3595
50	189	3528
51	190	3465
52	190	3405
53	191	3349
54	191	3291
55	191	3235
56	192	3181
57	192	3130
58	193	3081
59	193	3032
60	194	2986
61	194	2940
62	194	2896
63	195	2854
64	195	2813
65	196	2774
66	196	2736
67	196	2698
68	197	2662
69	197	2624
70	197	2590
71	198	2556
72	198	2524
73	199	2492
74	199	2461
75	200	2431
76	200	2402
77	200	2373
78	201	2346
79	201	2319
80	202	2292
81	202	2266
82	202	2242
83	203	2217
84	203	2193
85	204	2170
86	204	2148
87	205	2126
88	205	2105
89	206	2084
90	206	2063
91	206	2042
92	207	2022
93	207	2002
94	208	1983
95	208	1964
96	209	1945
97	209	1927
98	209	1910
99	210	1892
100	210	1875
101	211	1858
102	211	1841
103	211	1825
104	212	1809
105	212	1794
106	213	1778
107	213	1763
108	213	1749
109	214	1734
110	214	1720
111	215	1706
112	215	1692
113	216	1679
114	216	1665
115	216	1652
116	217	1639
117	217	1627
118	218	1614
119	218	1602
120	219	1591
121	219	1579
122	219	1568
123	220	1557
124	220	1546
125	221	1534
126	221	1523
127	222	1512
128	222	1501
129	222	1490
130	223	1480
131	223	1470
132	224	1460
133	224	1450
134	224	1440
135	225	1431
136	225	1421
137	226	1412
138	226	1402
139	226	1393
140	227	1384
141	227	1375
142	228	1367
143	228	1358
144	228	1349
145	229	1341
146	229	1333
147	230	1325
148	230	1316
149	230	1308
150	231	1301
151	231	1293
152	232	1285
153	232	1277
154	233	1270
155	233	1264
156	234	1256
157	234	1249
158	234	1242
159	235	1236
160	235	1229
161	236	1221
162	236	1215
163	237	1209
164	237	1202
165	238	1196
166	238	1190
167	239	1183
168	239	1177
169	239	1170
170	240	1164
171	240	1158
172	241	1152
173	241	1146
174	241	1140
175	242	1134
176	242	1128
177	243	1122
178	243	1117
179	243	1111
180	244	1105
181	244	1100
182	245	1094
183	245	1089
184	246	1083
185	246	1078
186	246	1073
187	247	1067
188	247	1062
189	248	1058
190	248	1053
191	249	1048
192	249	1043
193	250	1039
194	250	1034
195	250	1029
196	251	1024
197	251	1020
198	252	1015
199	252	1010
200	253	1006
201	253	1001
202	253	997
203	254	992
204	254	988
205	255	983
206	255	979
207	256	974
208	256	970
209	256	966
210	257	961
211	257	957
212	258	953
213	258	949
214	258	945
215	259	941
216	259	937
217	260	933
218	260	929
219	261	925
220	261	921
221	261	917
222	262	913
223	262	910
224	263	906
225	263	902
226	264	899
227	264	896
228	265	892
229	265	888
230	265	885
231	266	881
232	266	878
233	267	874
234	267	870
235	267	867
236	268	864
237	268	860
238	269	857
239	269	853
240	270	850
241	270	847
242	270	843
243	271	840
244	271	837
245	272	833
246	272	830
247	272	827
248	273	824
249	273	821
250	274	817
251	274	814
252	274	811
253	275	808
254	275	805
255	276	802
256	276	799
257	277	796
258	277	793
259	277	790
260	278	788
261	278	785
262	279	782
263	279	780
264	280	777
265	280	774
266	281	771
267	281	768
268	281	766
269	282	763
270	282	760
271	283	757
272	283	755
273	283	752
274	284	749
275	284	747
276	285	744
277	285	741
278	286	739
279	286	736
280	286	734
281	287	731
282	287	728
283	288	726
284	288	723
285	288	721
286	289	718
287	289	716
288	290	714
289	290	711
290	291	709
291	291	706
292	291	704
293	292	702
294	292	699
295	293	697
296	293	695
297	294	693
298	294	691
299	295	688
300	295	686
301	296	684
302	296	682
303	296	679
304	297	677
305	297	675
306	298	673
307	298	670
308	298	668
309	299	666
310	299	664
311	300	661
312	300	659
313	301	657
314	301	655
315	301	653
316	302	651
317	302	649
318	303	646
319	303	644
320	303	642
321	304	640
322	304	638
323	305	636
324	305	634
325	305	632
326	306	630
327	306	628
328	307	626
329	307	625
330	308	623
331	308	621
332	309	619
333	309	617
334	310	615
335	310	613
336	310	611
337	311	609
338	311	607
339	312	606
340	312	604
341	313	602
342	313	600
343	313	598
344	314	596
345	314	594
346	315	593
347	315	591
348	315	589
349	316	587
350	316	585
351	317	583
352	317	581
353	317	580
354	318	578
355	318	576
356	319	574
357	319	573
358	319	571
359	320	569
360	320	567
361	321	566
362	321	564
363	322	563
364	322	561
365	323	559
366	323	558
367	324	556
368	324	555
369	324	553
370	325	551
371	325	549
372	326	548
373	326	546
374	327	545
375	327	543
376	327	541
377	328	540
378	328	538
379	329	537
380	329	535
381	330	533
382	330	532
383	330	530
384	331	529
385	331	527
386	332	526
387	332	524
388	332	522
389	333	521
390	333	519
391	334	518
392	334	516
393	334	515
394	335	513
395	335	512
396	336	510
397	336	509
398	337	507
399	337	506
400	337	504
401	338	503
402	338	501
403	339	500
404	339	499
405	340	497
406	340	496
407	341	495
408	341	493
409	342	492
410	342	490
411	342	489
412	343	488
413	343	486
414	344	485
415	344	483
416	345	482
417	345	481
418	345	479
419	346	478
420	346	476
421	347	475
422	347	474
423	348	472
424	348	471
425	348	470
426	349	468
427	349	467
428	350	466
429	350	464
430	350	463
431	351	461
432	351	460
433	352	459
434	352	458
435	353	457
436	353	455
437	354	454
438	354	453
439	355	452
440	355	450
441	355	449
442	356	448
443	356	446
444	357	445
445	357	444
446	358	442
447	358	441
448	358	440
449	359	439
450	359	437
451	360	436
452	360	435
453	360	434
454	361	432
455	361	431
456	362	430
457	362	429
458	362	427
459	363	426
460	363	425
461	364	424
462	364	422
463	365	421
464	365	420
465	366	419
466	366	418
467	367	417
468	367	416
469	368	415
470	369	414
471	369	413
472	370	412
473	370	411
474	371	410
475	371	409
476	372	407
477	372	406
478	372	405
479	373	404
480	373	403
481	374	402
482	374	400
483	374	399
484	375	398
485	375	397
486	376	396
487	376	395
488	377	394
489	377	392
490	377	391
491	378	390
492	378	389
493	379	388
494	379	387
495	379	385
496	380	384
497	380	383
498	381	382
499	381	381
500	382	380
501	382	379
502	383	378
503	383	377
504	384	376
505	384	375
506	385	374
507	385	373
508	385	372
509	386	371
510	386	370
511	387	368
512	387	367
513	387	366
514	388	365
515	388	364
516	389	363
517	389	362
518	390	361
519	390	360
520	390	359
521	391	358
522	391	357
523	392	356
524	392	355
525	392	354
526	393	353
527	393	352
528	394	350
529	394	349
530	395	348
531	395	347
532	395	346
533	396	345
534	396	344
535	397	344
536	398	343
537	398	342
538	398	341
539	399	340
540	399	339
541	400	338
542	400	337
543	401	336
544	401	335
545	401	334
546	402	333
547	402	332
548	403	331
549	403	330
550	403	329
551	404	328
552	404	327
553	405	326
554	405	325
555	406	324
556	406	323
557	406	322
558	407	321
559	407	320
560	408	319
561	408	318
562	408	317
563	409	316
564	409	315
565	410	314
566	410	313
567	412	313
568	412	312
569	413	311
570	413	310
571	414	309
572	414	309
573	415	308
574	415	307
575	416	306
576	416	305
577	417	304
578	417	303
579	418	302
580	418	301
581	419	301
582	419	300
583	420	299
584	421	298
585	421	297
586	422	296
587	422	296
588	422	295
589	423	294
590	423	293
591	424	292
592	424	291
593	425	290
594	425	289
595	426	288
596	426	288
597	427	287
598	427	286
599	428	285
600	428	284
601	429	283
602	429	283
603	430	282
604	430	281
605	431	280
606	431	279
607	432	278
608	432	277
609	433	276
610	433	276
611	434	275
612	434	274
613	434	273
614	435	272
615	435	271
616	436	270
617	436	269
618	437	269
619	437	268
620	438	267
621	438	266
622	439	265
623	439	264
624	439	263
625	440	263
626	440	262
627	441	261
628	441	260
629	442	259
630	442	258
631	443	258
632	443	257
633	443	256
634	444	255
635	444	254
636	445	253
637	445	252
638	446	252
639	446	251
640	446	250
641	447	249
642	447	248
643	448	247
644	448	246
645	448	246
646	449	245
647	449	244
648	450	243
649	450	242
650	451	241
651	451	240
652	451	240
653	452	239
654	452	238
655	453	237
656	453	236
657	453	235
658	454	235
659	454	234
660	455	233
661	455	232
662	456	231
663	456	231
664	457	230
665	457	229
666	458	228
667	458	227
668	458	227
669	459	226
670	459	225
671	460	224
672	460	223
673	460	222
674	461	222
675	461	221
676	462	220
677	462	219
678	463	218
679	463	218
680	463	217
681	464	216
682	464	215
683	465	214
684	465	214
685	465	213
686	466	212
687	466	211
688	467	210
689	467	210
690	468	209
691	468	208
692	468	207
693	469	206
694	469	206
695	470	205
696	470	204
697	471	203
698	471	203
699	472	202
700	472	201
701	473	200
702	473	200
703	473	199
704	474	198
705	474	197
706	475	196
707	475	196
708	475	195
709	476	194
710	476	193
711	477	193
712	477	192
713	478	191
714	478	190
715	479	190
716	479	189
717	480	188
718	480	187
719	480	187
720	481	186
721	481	185
722	482	184
723	482	183
724	483	183
725	483	182
726	483	181
727	484	181
728	485	180
729	485	179
730	485	178
731	486	178
732	486	177
733	487	176
734	487	175
735	488	175
736	488	174
737	488	173
738	489	172
739	489	172
740	490	171
741	490	170
742	491	169
743	491	169
744	491	168
745	492	167
746	492	166
747	493	166
748	493	165
749	493	164
750	494	163
751	494	163
752	495	162
753	495	161
754	495	160
755	496	160
756	496	159
757	497	158
758	497	157
759	497	157
760	498	156
761	499	155
762	499	155
763	500	154
764	500	153
765	501	153
766	501	152
767	502	151
768	502	151
769	503	150
770	503	149
771	504	148
772	504	148
773	505	147
774	505	146
775	506	146
776	506	145
777	507	144
778	507	143
779	507	143
780	508	142
781	508	141
782	509	141
783	509	140
784	509	139
785	510	138
786	510	138
787	511	137
788	511	136
789	512	136
790	512	135
791	513	134
792	513	134
793	513	133
794	514	132
795	514	131
796	515	131
797	515	130
798	516	129
799	516	129
800	516	128
801	517	127
802	517	127
803	518	126
804	518	125
805	519	124
806	519	124
807	520	123
808	520	122
809	520	122
810	521	121
811	521	120
812	522	120
813	522	119
814	523	118
815	523	118
816	524	117
817	524	116
818	525	116
819	525	115
820	526	114
821	526	114
822	527	113
823	527	112
824	528	112
825	528	111
826	528	110
827	529	109
828	529	109
829	530	108
830	530	107
831	531	107
832	531	106
833	532	105
834	532	105
835	533	104
836	533	103
837	534	103
838	534	102
839	534	101
840	535	101
841	535	100
842	536	99
843	536	99
844	537	98
845	537	97
846	537	97
847	538	96
848	538	95
849	539	95
850	539	94
851	540	93
852	540	93
853	541	92
854	541	91
855	541	91
856	542	90
857	542	89
858	543	89
859	543	88
860	543	87
861	544	87
862	544	86
863	545	85
864	545	85
865	546	84
866	546	83
867	546	83
868	547	82
869	547	81
870	548	81
871	548	80
872	548	79
873	549	79
874	549	78
875	550	77
876	550	77
877	550	76
878	551	75
